Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2023-2024,Round of 16,Tue,2024-02-13,RB Leipzig,0-1,Real Madrid,Red Bull Arena,Irfan Peljto
2023-2024,Round of 16,Tue,2024-02-13,FC Copenhagen,1-3,Manchester City,Parken,José Sánchez
2023-2024,Round of 16,Wed,2024-02-14,Paris S-G,2-0,Real Sociedad,Parc des Princes,Marco Guida
2023-2024,Round of 16,Wed,2024-02-14,Lazio,1-0,Bayern Munich,Stadio Olimpico,François Letexier
2023-2024,Round of 16,Tue,2024-02-20,PSV Eindhoven,1-1,Dortmund,Philips Stadion,Srđan Jovanović
2023-2024,Round of 16,Tue,2024-02-20,Inter,1-0,Atlético Madrid,Stadio Giuseppe Meazza,István Kovács
2023-2024,Round of 16,Wed,2024-02-21,Porto,1-0,Arsenal,Estádio Do Dragão,Serdar Gözübüyük
2023-2024,Round of 16,Wed,2024-02-21,Napoli,1-1,Barcelona,Stadio Diego Armando Maradona,Felix Zwayer
2023-2024,Round of 16,Tue,2024-03-05,Real Sociedad,1-2,Paris S-G,Reale Arena,Michael Oliver
2023-2024,Round of 16,Tue,2024-03-05,Bayern Munich,3-0,Lazio,Allianz Arena,Slavko Vinčič
2023-2024,Round of 16,Wed,2024-03-06,Manchester City,3-1,FC Copenhagen,Etihad Stadium,Espen Eskås
2023-2024,Round of 16,Wed,2024-03-06,Real Madrid,1-1,RB Leipzig,Estadio Santiago Bernabéu,Davide Massa
2023-2024,Round of 16,Tue,2024-03-12,Arsenal,1-0,Porto,Emirates Stadium,Clément Turpin
2023-2024,Round of 16,Tue,2024-03-12,Barcelona,3-1,Napoli,Estadi Olímpic Lluís Companys,Danny Makkelie
2023-2024,Round of 16,Wed,2024-03-13,Atlético Madrid,2-1,Inter,Stadium Metropolitano,Szymon Marciniak
2023-2024,Round of 16,Wed,2024-03-13,Dortmund,2-0,PSV Eindhoven,Signal Iduna Park,Daniele Orsato
2023-2024,Quarter-finals,Tue,2024-04-09,Arsenal,2-2,Bayern Munich,Emirates Stadium,Glenn Nyberg
2023-2024,Quarter-finals,Tue,2024-04-09,Real Madrid,3-3,Manchester City,Estadio Santiago Bernabéu,François Letexier
2023-2024,Quarter-finals,Wed,2024-04-10,Atlético Madrid,2-1,Dortmund,Estadio Cívitas Metropolitano,Marco Guida
2023-2024,Quarter-finals,Wed,2024-04-10,Paris S-G,2-3,Barcelona,Parc des Princes,Anthony Taylor
2023-2024,Quarter-finals,Tue,2024-04-16,Dortmund,4-2,Atlético Madrid,Signal Iduna Park,Slavko Vinčič
2023-2024,Quarter-finals,Tue,2024-04-16,Barcelona,1-4,Paris S-G,Estadi Olímpic Lluís Companys,István Kovács
2023-2024,Quarter-finals,Wed,2024-04-17,Manchester City,1-1,Real Madrid,Etihad Stadium,Daniele Orsato
2023-2024,Quarter-finals,Wed,2024-04-17,Bayern Munich,1-0,Arsenal,Allianz Arena,Danny Makkelie
2023-2024,Semi-finals,Tue,2024-04-30,Bayern Munich,nan,Real Madrid,Allianz Arena,
2023-2024,Semi-finals,Wed,2024-05-01,Dortmund,nan,Paris S-G,Signal Iduna Park,
2023-2024,Semi-finals,Tue,2024-05-07,Paris S-G,nan,Dortmund,Parc des Princes,
2023-2024,Semi-finals,Wed,2024-05-08,Real Madrid,nan,Bayern Munich,Estadio Santiago Bernabéu,
